Swim Time,Bike Time,Run Time,Finish Time
01:15:51,05:02:57,03:49:13,10:14:50
01:09:06,05:01:00,03:53:59,10:14:50
01:23:18,05:09:03,03:26:12,10:14:52
01:08:31,04:59:02,03:53:36,10:14:56
01:06:50,05:28:07,03:27:24,10:15:00
01:09:42,05:28:22,03:24:04,10:15:00
01:12:51,05:06:37,03:40:32,10:15:05
01:12:59,05:06:49,03:41:01,10:15:07
01:20:43,05:05:51,03:35:51,10:15:11
01:00:17,05:00:26,04:03:24,10:15:12
01:08:10,04:59:32,03:53:49,10:15:14
01:14:41,05:01:17,03:47:26,10:15:20
01:17:08,05:04:43,03:46:00,10:15:37
01:20:25,05:00:16,03:41:50,10:15:40
01:30:56,05:00:32,03:26:53,10:15:40
01:10:44,05:18:00,03:37:27,10:15:58
01:06:55,05:34:02,03:24:36,10:16:06
00:59:31,05:16:17,03:46:46,10:16:25
00:59:14,05:18:46,03:49:37,10:16:26
01:08:19,04:45:29,04:14:09,10:16:37
01:09:50,04:44:34,04:10:54,10:16:38
01:12:50,05:00:07,03:52:53,10:16:42
01:19:10,05:09:16,03:34:28,10:17:27
01:18:19,05:05:24,03:40:25,10:17:32
01:06:47,04:52:44,04:05:54,10:17:42
01:31:02,04:57:54,03:30:53,10:17:58
01:26:19,05:08:32,03:32:03,10:18:02
01:20:06,04:59:10,03:48:20,10:18:06
01:06:26,04:59:23,04:03:20,10:18:17
01:09:27,05:20:02,03:34:08,10:18:23
01:02:24,04:48:14,04:16:27,10:18:27
01:14:46,05:17:46,03:33:48,10:18:28
01:13:23,04:52:30,03:59:22,10:18:28
01:16:17,05:00:29,03:51:21,10:18:31
01:09:56,05:07:24,03:44:01,10:18:36
01:14:27,04:55:24,03:57:15,10:18:40
01:16:12,04:57:52,03:53:16,10:19:03
01:25:36,05:00:08,03:43:06,10:19:08
01:15:13,04:58:18,03:51:26,10:19:12
01:10:30,05:27:28,03:30:47,10:19:13
01:19:29,04:56:31,03:54:56,10:19:13
01:14:10,05:15:31,03:37:24,10:19:48
